ub,lb
14411.4430322336,12490.8355869976
14348.2276466237,13809.6804800955
14325.2189875084,14005.120065163
14325.2189875084,14185.1390637658
14325.2189875084,14190.152846779
14325.2189875084,14193.4314475943
14325.2189875084,14203.3817298608
14325.2189875084,14210.8599002765
14325.2189875084,14221.317291269
14325.2189875084,14225.1457564986
14325.2189875084,14214.9454512
14325.2189875084,14232.3132367101
14325.2189875084,14246.7639007795
14325.2189875084,14247.2466331936
14325.2189875084,14252.1112254667
14325.2189875084,14267.5914077812
14325.2189875084,14263.5033180217
14325.2189875084,14281.0427323361
14325.2189875084,14281.0744380321
14325.2189875084,14284.3308250235
14325.2189875084,14288.0532132217
14325.2189875084,14286.931839991
14323.8141167069,14298.8630715498
14323.8141167069,14290.7603052205
14323.8141167069,14302.9866097052
14323.8141167069,14304.7926304639
14323.8141167069,14308.8807202234
14323.8141167069,14318.2402123188
