num_L2,num_DC
12,0
0,1
24,0
6,0
1,0
3,0
1,0
15,0
1,0
1,0
8,0
17,0
10,0
7,0
3,0
4,0
1,0
0,12
18,0
6,0
12,1
0,12
8,0
2,0
1,0
32,0
8,0
11,0
2,0
13,0
9,0
1,13
4,0
6,0
10,0
17,0
24,7
18,0
14,12
2,0
0,10
11,0
17,0
15,0
23,0
7,0
10,0
1,0
8,0
6,1
10,0
10,12
9,0
2,0
13,0
9,0
20,0
38,0
25,0
15,0
3,2
32,0
6,0
15,4
18,0
0,1
3,0
23,0
3,0
11,0
7,0
24,0
14,0
15,0
28,0
9,0
2,0
1,0
11,0
2,0
4,0
4,0
4,0
0,10
2,0
4,0
5,0
2,0
2,0
8,0
5,0
7,0
2,0
8,0
4,0
9,0
8,0
8,0
6,0
4,0
37,0
30,0
26,0
3,0
17,4
25,0
33,0
44,0
30,0
13,4
11,0
8,0
2,0
20,0
2,0
7,0
2,0
14,0
6,0
2,1
2,0
24,0
31,0
