Queens,2
Bronx,3
Manhattan,4
Staten Island,5
Staten Island,6
Queens,7
Queens,8
Queens,9
Manhattan,24
Queens,10
Brooklyn,11
Manhattan,12
Manhattan,13
Bronx,18
Brooklyn,25
Brooklyn,14
Queens,15
Brooklyn,22
Staten Island,23
Queens,16
Brooklyn,17
Queens,19
Bronx,20
Brooklyn,21
Brooklyn,26
Queens,27
Queens,28
Brooklyn,33
Brooklyn,29
Bronx,31
Bronx,32
Queens,30
Brooklyn,34
Brooklyn,35
Brooklyn,36
Brooklyn,37
Queens,38
Brooklyn,39
Brooklyn,40
Manhattan,41
Manhattan,45
Manhattan,42
Manhattan,43
Staten Island,44
Bronx,47
Manhattan,48
Brooklyn,49
Manhattan,50
Bronx,51
Brooklyn,52
Queens,53
Brooklyn,54
Brooklyn,55
Queens,56
Queens,56
Bronx,58
Bronx,59
Bronx,60
Brooklyn,61
Brooklyn,62
Brooklyn,63
Queens,64
Brooklyn,65
Brooklyn,72
Brooklyn,66
Brooklyn,67
Manhattan,68
Queens,73
Bronx,69
Queens,70
Brooklyn,71
Manhattan,79
Brooklyn,80
Manhattan,74
Brooklyn,85
Queens,86
Manhattan,75
Brooklyn,76
Brooklyn,77
Bronx,78
Bronx,81
Manhattan,87
Queens,82
Queens,83
Staten Island,84
Manhattan,88
Brooklyn,89
Manhattan,90
Manhattan,125
Brooklyn,91
Queens,92
Queens,93
Bronx,94
Queens,95
Queens,96
Brooklyn,97
Queens,98
Staten Island,99
Manhattan,100
Queens,101
Queens,102
Brooklyn,106
Manhattan,107
Brooklyn,108
Staten Island,109
Staten Island,110
Brooklyn,111
Brooklyn,112
Manhattan,113
Manhattan,114
Staten Island,115
Manhattan,116
Queens,117
Staten Island,118
Bronx,119
Manhattan,120
Brooklyn,149
Brooklyn,150
Queens,121
Queens,122
Brooklyn,123
Queens,124
Bronx,126
Manhattan,127
Manhattan,128
Queens,129
Queens,134
Manhattan,151
Queens,130
Queens,139
Queens,131
Queens,132
Brooklyn,133
Manhattan,140
Queens,135
Bronx,136
Manhattan,137
Manhattan,141
Manhattan,142
Manhattan,152
Queens,138
Manhattan,143
Manhattan,144
Queens,145
Queens,146
Bronx,147
Manhattan,148
Manhattan,153
Brooklyn,154
Brooklyn,155
Staten Island,156
Bronx,159
Queens,157
Manhattan,158
Queens,160
Manhattan,161
Manhattan,162
Manhattan,163
Manhattan,164
Manhattan,170
Brooklyn,165
Manhattan,166
Bronx,167
Brooklyn,178
Bronx,168
Bronx,169
Queens,171
Staten Island,172
Queens,173
Bronx,174
Queens,175
Queens,179
Staten Island,176
Brooklyn,177
Queens,180
Brooklyn,181
Bronx,182
Bronx,183
Bronx,184
Bronx,185
Manhattan,186
Brooklyn,189
Brooklyn,190
Staten Island,187
Brooklyn,188
Queens,191
Queens,192
Queens,193
Manhattan,194
Queens,196
Brooklyn,195
Queens,203
Queens,197
Queens,198
Bronx,199
Bronx,212
Bronx,213
Bronx,200
Staten Island,204
Queens,201
Manhattan,202
Queens,205
Staten Island,206
Queens,207
Bronx,208
Manhattan,209
Brooklyn,210
Manhattan,211
Staten Island,214
Queens,215
Queens,216
Brooklyn,217
Queens,218
Queens,219
Brooklyn,225
Bronx,220
Manhattan,224
Queens,226
Staten Island,221
Brooklyn,222
Queens,223
Brooklyn,227
Brooklyn,228
Manhattan,229
Manhattan,230
Manhattan,231
Manhattan,239
Manhattan,232
Manhattan,233
Manhattan,234
Bronx,235
Manhattan,236
Manhattan,237
Manhattan,238
Bronx,240
Bronx,241
Queens,258
Bronx,242
Staten Island,245
Manhattan,263
Manhattan,243
Manhattan,244
Queens,253
Manhattan,246
Bronx,247
Bronx,248
Manhattan,249
Brooklyn,257
Bronx,250
Staten Island,251
Queens,252
Bronx,254
Brooklyn,255
Brooklyn,256
Bronx,259
Queens,260
Manhattan,261
Manhattan,262
